,sku,description,sku_x,description,sku,description,sku_x,description
136,5168362.0,MAI     ,5168362.0,,4898362.0,MAI     ,4898362.0,
137,7568362.0,MAI     ,7568362.0,,7468362.0,MAI     ,7468362.0,
138,5109905.0,CABERN  ,5109905.0,,5749904.0,CABERN  ,5749904.0,
139,6139962.0,CABERN  ,6139962.0,,6319962.0,CABERN  ,6319962.0,
140,4512521.0,NOB     ,4512521.0,,4462521.0,NOB     ,4462521.0,NOB     
141,6412521.0,NOB     ,6412521.0,,6402521.0,NOB     ,6402521.0,
142,6412521.0,NOB     ,6412521.0,,6372521.0,NOB     ,6372521.0,
143,5369905.0,CABERN  ,5369905.0,,6349904.0,CABERN  ,6349904.0,
144,6931514.0,BLUE    ,6931514.0,,2801257.0,BLUE    ,2801257.0,
145,3998011.0,CLINIQUE,3998011.0,CLINIQUE,2726578.0,CLINIQUE,2726578.0,
146,6742521.0,NOB     ,6742521.0,,6752521.0,NOB     ,6752521.0,
147,6319962.0,CABERN  ,6319962.0,,6139962.0,CABERN  ,6139962.0,
148,9590684.0,CABERN  ,9590684.0,,9459364.0,CABERN  ,9459364.0,
149,6260353.0,NOB     ,6260353.0,,6270353.0,NOB     ,6270353.0,
150,2716578.0,CLINIQUE,2716578.0,CLINIQUE,3898011.0,CLINIQUE,3898011.0,
151,5749904.0,CABERN  ,5749904.0,,5109905.0,CABERN  ,5109905.0,
152,5826627.0,FREDERI ,5826627.0,,5786627.0,FREDERI ,5786627.0,
153,6343721.0,FREDERI ,6343721.0,,5872825.0,FREDERI ,5872825.0,
154,8142644.0,NOB     ,8142644.0,,8122644.0,NOB     ,8122644.0,
155,3978011.0,CLINIQUE,3978011.0,CLINIQUE,3524026.0,CLINIQUE,3524026.0,
156,9459364.0,CABERN  ,9459364.0,,9590684.0,CABERN  ,9590684.0,
157,6580353.0,NOB     ,6580353.0,,6570353.0,NOB     ,6570353.0,
158,6250353.0,NOB     ,6250353.0,,6240353.0,NOB     ,6240353.0,
159,8132644.0,NOB     ,8132644.0,,8142644.0,NOB     ,8142644.0,
160,98327.0,MAI     ,98327.0,,238327.0,MAI     ,238327.0,
161,6742521.0,NOB     ,6742521.0,,6642521.0,NOB     ,6642521.0,
